OBJECTID,contract date,sub decree date,Name,year of establishment,Inside PA?,PA name,current designation,previous designation,Change des?,Original establishment Year,Area m sq,area ha,Shape_Length,Shape_Area
28, , ,Agro Star,1995,N, , , , ,0,19885502.91,1988.550291,23585.90953,19885502.91
3,7/23/1998,Not found, ,1998,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,233717078.2,23371.70782,102203.7587,233717078.2
29, , ,Green Rich,1998,Y,Botum Sakor National Park,National Park, , ,1993,197009075.9,19700.90759,70130.00667,197009075.9
30, , ,Ratanak Visal,1999,N, , , , ,0,36817958.55,3681.795855,34706.67106,36817958.55
31, , ,Flour Manufacturing (Cassava Starch),1999,N, , , , ,0,74602768.6,7460.27686,40934.4063,74602768.6
32, , ,CJ Cambodia 1,1999,N, , , , ,0,62955152.57,6295.515257,38986.37284,62955152.57
33, , ,CJ Cambodia 2,1999,N, , , , ,0,31500076.31,3150.007631,29414.24893,31500076.31
34, , ,Rama Khmer International,1999,N,Ou Ya Dav National Park,National Park, , ,2009,215731349.4,21573.13494,62152.05768,215731349.4
2,3/18/2000,Not found, ,2000,Y,Preah Monivong National Park,National Park, , ,1993,173255746.8,17325.57468,52349.85971,173255746.8
9,1/8/2000,Not found, ,2000,Y,Tonle Sap Biosphere Multiple Use Area,Multiple Use Management Area, , ,1993,3333499805,333349.9805,413231.2767,3333499805
35, , ,TTY,2000,N, , , , ,0,10400016.11,1040.001611,20000.01559,10400016.11
36, , ,Leang Hour Hong,2000,Y,Roniem Daun Sam II Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,109190295.4,10919.02954,80885.09078,109190295.4
37, , ,Camland II,2000,Y,Preah Monivong National Park,National Park, , ,1993,108205329.9,10820.53299,63800.34532,108205329.9
38, , ,Camland I,2000,Y,Preah Monivong National Park,National Park, , ,1993,56430284.83,5643.028483,70436.2315,56430284.83
5,11/23/2001,Not found, ,2001,Y,Siem Pang Wildlife Sanctuary,Wildlife Sanctuary,Protected Forest,Y,2014,1577968932,157796.8932,281578.7471,1577968932
39, , ,Uk Khun,2001,N, , , , ,0,116086333.2,11608.63332,63413.35146,116086333.2
40, , ,Tumring Rubber,2001,N, , , , ,0,62000021.97,6200.002197,40000.00718,62000021.97
41, , ,Golden Land,2004,N, , , , ,0,54000130.64,5400.013064,34000.04105,54000130.64
42, , ,Vannma Import Export,2004,N, , , , ,0,15500026.22,1550.002622,19300.5796,15500026.22
43, , ,World Tristar,2005,Y,Preah Monivong National Park,National Park, , ,1993,128642488.1,12864.24881,45788.33817,128642488.1
