OBJECTID,Current_name,category,Previous_name,Original_designation,Change_des,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,Shape_Length,Shape_Area
3,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,292681.3581,2547752482
5,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,255982.0818,2222445459
6,Lomphat Wildlife Sanctuary,Wildlife Sanctuary,Lomphat,Wildlife Sanctuary,N,1993,250846.2851,"250,000","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,325323.3696,2508462851
10,"Preah Soramrit-Kosomak ""Kirirom"" National Park",National Park,Kirirom,National Park,N,1993,27684.57787,"35,000","Kampong Speu, Koh Kong, Preah Sihanouk",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,64243.06162,276845779.1
11,Roniem Daun Sam I Wildlife Sanctuary,Wildlife Sanctuary,Roniem Daun Sam I,Wildlife Sanctuary,N,1993,16565.47842,"16,565","Battambang, Banteay Meanchey",Not found,Not found,Royal_Decree_No_291__29.09.2003.pdf,22/5/2014,English,66930.81318,165654784.1
12,Preah Vihear Temple Protected Landscape,Protected Landscape,Preah Vihear Temple,Protected Landscape,N,1993,4046.485778,"5,000",Preah Vihear,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,33581.63003,40464857.74
13,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,352041.066,4070704851
14,Preah Monivong National Park,National Park,Preah Monivong (Bokor),National Park and ASEAN Heritage Park,Y,1993,141800.4589,"140,000",Kampot,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,182206.7715,1418004589
15,Phnom Kulen National Park,National Park,Phnom Kulen,National Park,N,1993,37375.07778,"37,500",Siem Reap,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf; Ministry_of_Environment_Kulen__28.07.2014.pdf,22/5/2014,English,100682.9303,373750778.7
17,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Beng Per,Wildlife Sanctuary,N,1993,249223.7892,"242,500",Kampong Thom,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,316421.3918,2492237892
18,Phnom Namlear Wildlife Sanctuary,Wildlife Sanctuary,Pnom Namlear,Wildlife Sanctuary,N,1993,45879.50841,"47,500",Mondul Kiri,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,168022.3822,458795083.9
19,Dong Peng Multiple Use Area,Multiple Use Management Area,Dong Peng,Multiple Use Management Area,N,1993,29098.45648,"27,700",Koh Kong,Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,104533.3384,290984564.7
25,Roniem Daun Sam II Wildlife Sanctuary,Wildlife Sanctuary,Roniem Daun Sam II,Wildlife Sanctuary,N,1993,21267.92452,"21,335",Battambang,Not found,Not found,Royal_Decree_No_291__29.09.2003.pdf,22/5/2014,English,64744.08985,212679244.4
26,Protected Landscape Banteay Chmar,Protected Landscape,Banteay Chhmar,Protected Landscape,N,1993,84720.26948,"81,200","Banteay Meanchey, Oddar Meanchey",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,167744.6755,847202694.7
28,Tonle Sap Biosphere Multiple Use Area,Multiple Use Management Area, , ,N,1993,331424.4668,"316,250","Kampong Chhnang, Kampong Thom, Siem Reap, Battambang, Pursat",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,845395.4137,3314244669
29,Tonle Sap Biosphere Multiple Use Area,Multiple Use Management Area, , ,N,1993,331424.4668,"316,250","Kampong Chhnang, Kampong Thom, Siem Reap, Battambang, Pursat",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,845395.4137,3314244669
