OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Current_name,category,Previous_name,Original_designation,Change_des?,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,contract_date,sub_decree_date,Name,year_establishment,Inside_PA,PA_name,current_designation,previous designation,Change_des,Original_establishment_Year2,Area_msq,area_ha,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
3,1,3,2,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,7/23/1998,Not found, ,1998,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,233717078.2,23371.70782,102203.7587,233717078.2,292681.3581,2547752482
4,1,3,5,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,1/8/2000,Not found, ,2000,Y,Tonle Sap Biosphere Multiple Use Area,Multiple Use Management Area, , ,1993,3333499805,333349.9805,413231.2767,3333499805,292681.3581,2547752482
5,1,3,29,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,HLH,2009,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,104924491,10492.4491,76857.03122,104924491,292681.3581,2547752482
6,1,3,39,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Great Field,2010,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,89604390.53,8960.439053,61103.37824,89604390.53,292681.3581,2547752482
7,1,3,40,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Phnom Penh Sugar,2010,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,120561961.8,12056.19618,46116.06547,120561961.8,292681.3581,2547752482
8,1,3,41,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Kampong Speu Sugar,2010,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,119889113.7,11988.91137,54575.03857,119889113.7,292681.3581,2547752482
9,1,3,70,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Kampong Speu Sugar,2011,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,48435266.48,4843.526648,44236.48497,48435266.48,292681.3581,2547752482
10,1,3,74,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Phnom Aural,Wildlife Sanctuary,N,1993,254775.2482,"253,750","Koh Kong, Pursat, Kampong Chhnang",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Reththy Kiri Sakor,2011,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,15213748.4,1521.37484,17195.35887,15213748.4,292681.3581,2547752482
12,1,5,12,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,Not found,9/7/2011, ,2011,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,91348883.93,9134.888393,62600.5713,91348883.93,255982.0818,2222445459
13,1,5,13,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary,Phnom Prich,Wildlife Sanctuary,N,1993,222244.5459,"222,500","Ratanak Kiri, Mondul Kiri",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English,12/8/2009,Not found, ,2009,Y,Phnom Prich Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,102441350.2,10244.13502,43278.4066,102441350.2,255982.0818,2222445459
